Timestamp,P&L,Position,Window,Specification,T_years,tau_months,ChnLen,StpPct,Equity,Drawdown
2024-12-19 12:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 12:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:00:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:05:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:40:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:50:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 13:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:00:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:05:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:10:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:30:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:50:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 14:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 15:00:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:05:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:20:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:30:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:50:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 09:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:00:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:05:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:15:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:35:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:40:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 10:55:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:00:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:05:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:15:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:20:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 11:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:00:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:05:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
